Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","1","Armenia","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","1.05","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","1","Armenia","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","1.52","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","1","Armenia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","4.92","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","1","Armenia","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","10","Australia","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","15.75","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","10","Australia","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","3.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","10","Australia","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","5.45","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","10","Australia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","15.74","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","10","Australia","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","1.07","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","11","Austria","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","6.93","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","11","Austria","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.39","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","11","Austria","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","15.1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","11","Austria","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","7.95","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","11","Austria","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.54","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","5.14","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","2.99","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0.08","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","3.33","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","7.65","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","8.01","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","19.13","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.13","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","0.54","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.56","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","0.43","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.06","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","14","Barbados","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","6.67","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","14","Barbados","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","1.38","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","14","Barbados","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","1.59","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","14","Barbados","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","14.76","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","14","Barbados","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","57","Belarus","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","8.29","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","57","Belarus","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.04","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","57","Belarus","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","11.8","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","57","Belarus","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","8.53","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","57","Belarus","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.11","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","255","Belgium","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","5.73","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","255","Belgium","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.55","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","255","Belgium","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","8.49","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","255","Belgium","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","4.64","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","255","Belgium","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.74","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","23","Belize","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","2.28","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","23","Belize","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","23","Belize","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","4.69","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","23","Belize","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","8.41","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","23","Belize","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.13","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","53","Benin","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","1.28","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","53","Benin","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.33","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","53","Benin","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0.27","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","53","Benin","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","6.12","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","53","Benin","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.41","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","17","Bermuda","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","19.56","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","17","Bermuda","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","3.16","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","17","Bermuda","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","5.06","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","17","Bermuda","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","14.54","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","17","Bermuda","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","7.12","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.72","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","2.18","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","11.59","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.7","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","3.88","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.25","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","2.39","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","4.82","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","20","Botswana","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","3.23","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","20","Botswana","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","1.5","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","20","Botswana","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0.19","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","20","Botswana","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","1.55","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","20","Botswana","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","6.27","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","21","Brazil","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","14.61","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","21","Brazil","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.23","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","21","Brazil","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","3.32","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","21","Brazil","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","13.17","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","21","Brazil","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.05","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","26","Brunei Darussalam","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","4.07","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","26","Brunei Darussalam","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.67","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","26","Brunei Darussalam","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","1.5","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","26","Brunei Darussalam","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","21.24","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","26","Brunei Darussalam","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.98","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","1.7","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.7","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","7.93","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","8.11","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.49","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","3.15","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","1.33","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0.63","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","0.81","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.3","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","0.99","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.69","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","3.52","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","6.64","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","2.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","2.44","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","0.59","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","1.67","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.65","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0.62","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","1.12","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","1.56","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","33","Canada","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","11.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","33","Canada","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.37","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","33","Canada","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","6.6","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","33","Canada","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","13.25","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","33","Canada","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.04","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","7.94","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","2.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","1.27","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","0.46","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","3.42","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","39","Chad","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","3.35","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","39","Chad","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","1.38","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","39","Chad","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","39","Chad","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","0.15","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","39","Chad","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.23","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","40","Chile","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","7.34","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","40","Chile","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.22","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","40","Chile","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","6.91","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","40","Chile","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","12.16","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","40","Chile","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","1.81","Fc","Calculated data"
